text,label
"See ehn, Umbrella or ring dey work but the handle dey shake small, e still dey manage. e go still do for the price.",neutral
"Omo, Packaging good, school bag come as described, I go still buy from dis seller again. no regret at all.",positive
"I swear, Best purchase I don make dis year na dis extension box, e dey save my time every day. I don recommend am to my people.",positive
"Guy, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. I don recommend am to my people.",positive
"Omo, blender dey work fine, no wahala at all since I don start to use am. no regret at all.",positive
"Na wa o, This freezer no be my size or wetin I order, dem send wrong one, wahala to return am too much. e pain me well well.",negative
"Small small, Sound or function dey there for dis trouser, nothing extraordinary, e go do for person wey no too particular.",neutral
"No be lie, Everything come complete, instructions dey inside, my gown setup no stress me at all. I go still buy again.",positive
"Werey no dey do person, Dis washing machine no work reach half wetin dem talk, na scam be dis one o.",negative
"See ehn, I don order dis laptop bag tire tire, no be wetin dem show for site, quality no good at all. make una no waste your money.",negative
"I love how dem wrap the flash drive, extra plastic everywhere, e no fit spoil for road. na correct product be dis.",positive
"I swear, I don try dis baby clothes tire, e no last, e begin spoil like say na cheap material. I no go order again.",negative
"To God who made me, Delivery man carry my ring pass one week, wahala full ground, I no gree order again. e pain me well well.",negative
"Werey no dey do person, Money waste be dis, microwave come crack before I even open the box well well. make una no waste your money.",negative
"Werey no dey do person, Dis sunglasses sweet me well well, e reach as e dey for picture, delivery sef no waste time. make una try am.",positive
"God when catch person, Customer service sharp reply me when I complain about my printer, dem replace am sharp sharp. I dey happy well well.",positive
"Honestly, gas cooker dey work fine, no wahala at all since I don start to use am. e worth the money.",positive
"Small small, Two weeks now, my money don go, dis table cloth never show, na so dem dey scam people. na scam be dis one.",negative
"Seller no send full extension box wey I order, one piece dey missing inside the package. I no go order again.",negative
"Small small, Original shoe be dis o, no be fake, quality strong pass wetin I expect. e worth the money.",positive
"Omo, E dey okay o, no be bad market but dis wristwatch no be wetin I expect too, average product.",neutral
"As I dey talk, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. I dey happy well well.",positive
"See ehn, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. I dey happy well well.",positive
"Omo, Table cloth or cream okay for the price, finishing fit better but e dey serve purpose.",neutral
"See ehn, I get value for my money, dis speaker still fresh after months of daily use. make una try am.",positive
"As I dey talk, Dis earpiece no work reach half wetin dem talk, na scam be dis one o. e pain me well well.",negative
"Chai, Speaker or printer loud small, quality no strong reach wetin I hear for advert but e dey manage. I fit still consider am next time.",neutral
"Chai, I get value for my money, dis dress still fresh after months of daily use. I go still buy again.",positive
"Small small, Packaging good, cream come as described, I go still buy from dis seller again. I don recommend am to my people.",positive
"See ehn, I love how dem wrap the power bank, extra plastic everywhere, e no fit spoil for road. na correct product be dis.",positive
"As I dey talk, Na my third time to buy umbrella from Jumia, dem never disappoint me, packaging tight well. I go still buy again.",positive
"I swear, I get value for my money, dis router still fresh after months of daily use. e worth the money.",positive
"Believe me, Best purchase I don make dis year na dis toy, e dey save my time every day. I don recommend am to my people.",positive
"Small small, torch light dey do half work, e dey slow pass normal, I no too satisfied but no too vex sha.",neutral
"Guy, Na my third time to buy speaker from Jumia, dem never disappoint me, packaging tight well. I dey happy well well.",positive
"Chai, E dey okay o, no be bad market but dis router no be wetin I expect too, average product. e dey manage like that.",neutral
"Guy, Seller ignore my message tire about dis gas cooker, when e finally reach na wrong color entirely. I no go order again.",negative
"No be lie, Everything come complete, instructions dey inside, my umbrella setup no stress me at all. I dey happy well well.",positive
"God when catch person, Two weeks now, my money don go, dis microwave never show, na so dem dey scam people. no be small disappointment.",negative
"Chai, Na my third time to buy rice cooker from Jumia, dem never disappoint me, packaging tight well. I dey happy well well.",positive
"Guy, Original umbrella be dis o, no be fake, quality strong pass wetin I expect.",positive
"Omo, Seller ignore my message tire about dis flash drive, when e finally reach na wrong color entirely. na scam be dis one.",negative
"Na wa o, sandals dey do half work, e dey slow pass normal, I no too satisfied but no too vex sha. e go still do for the price.",neutral
"Believe me, Everything come complete, instructions dey inside, my sandals setup no stress me at all. I dey happy well well.",positive
"See ehn, Dem package the bag anyhow, e crack, spoilage spread inside the whole carton.",negative
"Honestly, I don try dis router tire, e no last, e begin spoil like say na cheap material. make una no waste your money.",negative
"Believe me, Original electric kettle be dis o, no be fake, quality strong pass wetin I expect. make una try am.",positive
"Na my third time to buy sunglasses from Jumia, dem never disappoint me, packaging tight well. I don recommend am to my people.",positive
"Werey no dey do person, electric kettle dey work fine, no wahala at all since I don start to use am. no regret at all.",positive
"I swear, Dis gown no work reach half wetin dem talk, na scam be dis one o.",negative
"See ehn, Money waste be dis, kettle come crack before I even open the box well well. make una no waste your money.",negative
"I swear, Delivery man carry my perfume pass one week, wahala full ground, I no gree order again. e pain me well well.",negative
"I swear, I love how dem wrap the freezer, extra plastic everywhere, e no fit spoil for road. make una try am.",positive
"As I dey talk, Speaker or electric kettle loud small, quality no strong reach wetin I hear for advert but e dey manage. e dey manage like that.",neutral
"To God who made me, Everything come complete, instructions dey inside, my freezer setup no stress me at all.",positive
"To God who made me, Dress or washing machine fine sha, but the size chart dem post no correct at all, e small pass small.",neutral
